review_id,review_text,predicted_sentiment,probability_positive,probability_negative,probability_neutral,dataset,price_range,meal_type,review_stars
10025,Terrible experience - extremely disappointing.,negative,0.73,0.022,0.248,Restaurant Reviews (Bakeoff),$$$,Dinner,1.5
10026,I'm very happy with everything here.,positive,0.724,0.032,0.243,Restaurant Reviews (Bakeoff),$$$$,Dinner,1.4
10027,I got sick after eating here.,negative,0.835,0.077,0.087,Restaurant Reviews (Bakeoff),$,Dinner,2.8
10028,The service was slow and the food was revolting.,negative,0.685,0.126,0.19,Restaurant Reviews (Bakeoff),$,Brunch,2.9
10029,I got sick after eating here.,negative,0.672,0.286,0.041,Restaurant Reviews (Bakeoff),$,Lunch,4.3
10030,The quality exceeded all expectations.,positive,0.546,0.215,0.239,Restaurant Reviews (Bakeoff),$$$,Brunch,4.7
10031,Wonderful experience from start to finish.,positive,0.739,0.08,0.181,Restaurant Reviews (Bakeoff),$$,Breakfast,2.9
10032,The quality exceeded all expectations.,positive,0.551,0.243,0.207,Restaurant Reviews (Bakeoff),$$,Brunch,4.2
10033,The food was outstanding!,positive,0.631,0.297,0.072,Restaurant Reviews (Bakeoff),$$,Dinner,1.7
10034,Terrible experience - extremely disappointing.,negative,0.714,0.09,0.196,Restaurant Reviews (Bakeoff),$$$,Lunch,1.3
10035,Wonderful experience from start to finish.,positive,0.572,0.309,0.119,Restaurant Reviews (Bakeoff),$$$,Brunch,3.8
10036,Best meal in town!,positive,0.719,0.221,0.06,Restaurant Reviews (Bakeoff),$$$,Breakfast,2.8
10037,Can't recommend this place enough!,positive,0.68,0.061,0.259,Restaurant Reviews (Bakeoff),$$$,Lunch,3.6
10038,I'm very happy with everything here.,positive,0.657,0.259,0.083,Restaurant Reviews (Bakeoff),$$,Dinner,4.2
10039,The food tasted like garbage.,negative,0.507,0.234,0.258,Restaurant Reviews (Bakeoff),$$$,Lunch,4.4
10040,What a great hidden gem!,positive,0.827,0.07,0.103,Restaurant Reviews (Bakeoff),$,Takeout,1.8
10041,The food was cold.,negative,0.626,0.297,0.076,Restaurant Reviews (Bakeoff),$,Dinner,2.8
10042,Can't recommend this place enough!,positive,0.768,0.094,0.139,Restaurant Reviews (Bakeoff),$$,Lunch,3.2
10043,The quality exceeded all expectations.,positive,0.927,0.037,0.037,Restaurant Reviews (Bakeoff),$$$$,Takeout,3.9
10044,Terrible experience - extremely disappointing.,negative,0.602,0.234,0.164,Restaurant Reviews (Bakeoff),$,Takeout,5.0
10045,The quality exceeded all expectations.,positive,0.639,0.203,0.158,Restaurant Reviews (Bakeoff),$$$,Brunch,5.0
10046,Wonderful experience from start to finish.,positive,0.628,0.275,0.096,Restaurant Reviews (Bakeoff),$$,Takeout,3.9
10047,The dessert is to die for!,positive,0.58,0.301,0.119,Restaurant Reviews (Bakeoff),$$$,Dinner,2.1
10048,Disgusting - never coming back.,negative,0.699,0.143,0.158,Restaurant Reviews (Bakeoff),$$,Brunch,1.6
10049,Decent value for money.,neutral,0.518,0.209,0.274,Restaurant Reviews (Bakeoff),$$$$,Brunch,3.4
10050,The staff was friendly and the food was mouth-watering.,positive,0.588,0.21,0.202,Restaurant Reviews (Bakeoff),$$,Takeout,3.1
10051,The quality exceeded all expectations.,positive,0.61,0.274,0.116,Restaurant Reviews (Bakeoff),$,Lunch,1.7
10052,The quality exceeded all expectations.,positive,0.599,0.097,0.305,Restaurant Reviews (Bakeoff),$$$$,Dinner,4.6
10053,What a great hidden gem!,positive,0.444,0.292,0.265,Restaurant Reviews (Bakeoff),$$$$,Brunch,2.0
10054,Absolutely delicious food and great service.,positive,0.632,0.235,0.134,Restaurant Reviews (Bakeoff),$$$$,Breakfast,1.9
10055,What a great hidden gem!,positive,0.8,0.079,0.121,Restaurant Reviews (Bakeoff),$$$$,Takeout,2.0
10056,The service was slow and the food was inedible.,negative,0.625,0.017,0.357,Restaurant Reviews (Bakeoff),$$,Breakfast,3.8
10057,I got sick after eating here.,negative,0.704,0.153,0.143,Restaurant Reviews (Bakeoff),$,Brunch,1.5
10058,The food was flawless!,positive,0.612,0.217,0.171,Restaurant Reviews (Bakeoff),$,Brunch,4.9
10059,Disgusting - never coming back.,negative,0.781,0.014,0.205,Restaurant Reviews (Bakeoff),$,Brunch,3.6
10060,Terrible experience - extremely disappointing.,negative,0.782,0.068,0.15,Restaurant Reviews (Bakeoff),$$,Lunch,2.1
10061,The quality exceeded all expectations.,positive,0.61,0.262,0.128,Restaurant Reviews (Bakeoff),$$,Dinner,4.4
10062,Nothing special about this place.,neutral,0.681,0.303,0.016,Restaurant Reviews (Bakeoff),$$,Breakfast,2.9
10063,The service was slow and the food was disgusting.,negative,0.798,0.055,0.147,Restaurant Reviews (Bakeoff),$$,Lunch,2.1
10064,I'm very happy with everything here.,positive,0.591,0.201,0.208,Restaurant Reviews (Bakeoff),$,Takeout,2.8
10065,The service was slow and the food was bland.,negative,0.655,0.062,0.283,Restaurant Reviews (Bakeoff),$,Brunch,1.6
10066,The dessert is to die for!,positive,0.469,0.282,0.249,Restaurant Reviews (Bakeoff),$,Lunch,3.7
10067,Nothing special about this place.,neutral,0.657,0.286,0.057,Restaurant Reviews (Bakeoff),$$$$,Brunch,1.2
10068,What a great hidden gem!,positive,0.789,0.082,0.129,Restaurant Reviews (Bakeoff),$,Dinner,1.6
10069,Average quality at best.,neutral,0.684,0.219,0.097,Restaurant Reviews (Bakeoff),$$$$,Dinner,3.4
10070,Decent value for money.,neutral,0.548,0.258,0.194,Restaurant Reviews (Bakeoff),$$$$,Dinner,4.4
10071,It's a standard restaurant overall.,neutral,0.769,0.049,0.182,Restaurant Reviews (Bakeoff),$$,Lunch,4.6
10072,I got sick after eating here.,negative,0.731,0.237,0.032,Restaurant Reviews (Bakeoff),$,Lunch,1.0
10073,The dessert is to die for!,positive,0.798,0.083,0.12,Restaurant Reviews (Bakeoff),$$,Lunch,2.7
10074,Nothing special about this place.,neutral,0.71,0.046,0.244,Restaurant Reviews (Bakeoff),$,Takeout,1.5
10075,I'm very happy with everything here.,positive,0.521,0.341,0.138,Restaurant Reviews (Bakeoff),$,Lunch,3.2
10076,Absolutely delicious food and great service.,positive,0.633,0.301,0.066,Restaurant Reviews (Bakeoff),$$,Breakfast,3.8
10077,The staff was friendly and the food was amazing.,positive,0.913,0.054,0.033,Restaurant Reviews (Bakeoff),$,Brunch,1.2
10078,Best meal in town!,positive,0.78,0.145,0.075,Restaurant Reviews (Bakeoff),$$,Takeout,4.7
10079,I'm very happy with everything here.,positive,0.594,0.278,0.128,Restaurant Reviews (Bakeoff),$,Lunch,1.8
10080,Worst meal I've ever had.,negative,0.716,0.195,0.089,Restaurant Reviews (Bakeoff),$$$$,Breakfast,2.5
10081,The dessert is to die for!,positive,0.754,0.218,0.028,Restaurant Reviews (Bakeoff),$,Breakfast,4.2
10082,"It's an average place, nothing more.",neutral,0.628,0.176,0.197,Restaurant Reviews (Bakeoff),$$$$,Lunch,3.4
10083,I'm very happy with everything here.,positive,0.673,0.119,0.208,Restaurant Reviews (Bakeoff),$$$,Dinner,2.5
10084,The portion was small and overpriced.,negative,0.788,0.184,0.028,Restaurant Reviews (Bakeoff),$$$,Lunch,4.9
10085,The quality exceeded all expectations.,positive,0.648,0.144,0.208,Restaurant Reviews (Bakeoff),$,Breakfast,4.7
10086,The quality exceeded all expectations.,positive,0.806,0.053,0.141,Restaurant Reviews (Bakeoff),$$,Lunch,1.5
10087,Wonderful experience from start to finish.,positive,0.731,0.147,0.122,Restaurant Reviews (Bakeoff),$,Breakfast,1.1
10088,What a great hidden gem!,positive,0.647,0.318,0.035,Restaurant Reviews (Bakeoff),$$,Brunch,3.7
10089,The quality exceeded all expectations.,positive,0.665,0.167,0.168,Restaurant Reviews (Bakeoff),$$$,Brunch,1.6
10090,The food was okay and the service was fine.,neutral,0.773,0.061,0.166,Restaurant Reviews (Bakeoff),$$$,Lunch,4.5
10091,The food was perfect!,positive,0.64,0.123,0.237,Restaurant Reviews (Bakeoff),$$$$,Takeout,2.3
10092,The food was mouth-watering!,positive,0.691,0.198,0.111,Restaurant Reviews (Bakeoff),$$$,Brunch,2.1
10093,The staff was friendly and the food was remarkable.,positive,0.464,0.316,0.22,Restaurant Reviews (Bakeoff),$$$,Brunch,3.6
10094,Worst meal I've ever had.,negative,0.476,0.271,0.254,Restaurant Reviews (Bakeoff),$$,Takeout,3.9
10095,"Save your money, this place is cold.",negative,0.739,0.14,0.121,Restaurant Reviews (Bakeoff),$$,Dinner,3.4
10096,I'm very happy with everything here.,positive,0.653,0.179,0.168,Restaurant Reviews (Bakeoff),$$$$,Lunch,2.6
10097,The staff was friendly and the food was excellent.,positive,0.608,0.133,0.259,Restaurant Reviews (Bakeoff),$$,Brunch,1.3
10098,The dessert is to die for!,positive,0.953,0.026,0.021,Restaurant Reviews (Bakeoff),$$$$,Brunch,3.0
10099,Terrible experience - extremely disappointing.,negative,0.655,0.081,0.264,Restaurant Reviews (Bakeoff),$$$$,Breakfast,3.8
10100,The food was ordinary.,neutral,0.661,0.286,0.054,Restaurant Reviews (Bakeoff),$$,Breakfast,4.7
10101,Absolutely delicious food and great service.,positive,0.522,0.203,0.275,Restaurant Reviews (Bakeoff),$$$,Dinner,2.9
10102,Wonderful experience from start to finish.,positive,0.697,0.179,0.124,Restaurant Reviews (Bakeoff),$$,Breakfast,1.4
10103,The portion was small and overpriced.,negative,0.649,0.179,0.172,Restaurant Reviews (Bakeoff),$$,Breakfast,3.9
10104,What a great hidden gem!,positive,0.529,0.275,0.196,Restaurant Reviews (Bakeoff),$$,Dinner,2.6
10105,The quality exceeded all expectations.,positive,0.656,0.196,0.149,Restaurant Reviews (Bakeoff),$$$,Brunch,2.1
10106,The staff was friendly and the food was mouth-watering.,positive,0.637,0.152,0.211,Restaurant Reviews (Bakeoff),$$,Dinner,1.4
10107,I'm very happy with everything here.,positive,0.605,0.18,0.214,Restaurant Reviews (Bakeoff),$,Brunch,4.9
10108,Absolutely delicious food and great service.,positive,0.663,0.241,0.095,Restaurant Reviews (Bakeoff),$$$,Lunch,3.3
10109,Disgusting - never coming back.,negative,0.554,0.23,0.217,Restaurant Reviews (Bakeoff),$$,Lunch,2.3
10110,What a great hidden gem!,positive,0.866,0.02,0.115,Restaurant Reviews (Bakeoff),$$,Dinner,3.9
10111,It's a standard restaurant overall.,neutral,0.719,0.129,0.152,Restaurant Reviews (Bakeoff),$$$$,Takeout,3.7
10112,The food was exceptional!,positive,0.551,0.33,0.119,Restaurant Reviews (Bakeoff),$,Breakfast,2.0
10113,I got sick after eating here.,negative,0.705,0.248,0.047,Restaurant Reviews (Bakeoff),$$$,Breakfast,3.0
10114,Decent value for money.,neutral,0.811,0.172,0.017,Restaurant Reviews (Bakeoff),$$$$,Breakfast,4.7
10115,Can't recommend this place enough!,positive,0.825,0.075,0.099,Restaurant Reviews (Bakeoff),$$,Brunch,4.5
10116,Absolutely delicious food and great service.,positive,0.723,0.21,0.068,Restaurant Reviews (Bakeoff),$,Takeout,2.8
10117,Absolutely delicious food and great service.,positive,0.662,0.26,0.077,Restaurant Reviews (Bakeoff),$$,Dinner,2.0
10118,Worst meal I've ever had.,negative,0.605,0.269,0.126,Restaurant Reviews (Bakeoff),$$,Lunch,1.3
10119,The food was okay and the service was fine.,neutral,0.715,0.069,0.216,Restaurant Reviews (Bakeoff),$$,Brunch,4.2
10120,The quality exceeded all expectations.,positive,0.587,0.283,0.13,Restaurant Reviews (Bakeoff),$$$,Lunch,1.2
10121,Nothing special about this place.,neutral,0.512,0.202,0.286,Restaurant Reviews (Bakeoff),$$$$,Brunch,1.8
10122,The staff was friendly and the food was divine.,positive,0.607,0.029,0.364,Restaurant Reviews (Bakeoff),$$$$,Brunch,5.0
10123,The food tasted like garbage.,negative,0.634,0.213,0.153,Restaurant Reviews (Bakeoff),$,Brunch,2.4
10124,The service was slow and the food was horrible.,negative,0.515,0.271,0.213,Restaurant Reviews (Bakeoff),$$$$,Breakfast,3.9
10125,I'm very happy with everything here.,positive,0.587,0.336,0.078,Restaurant Reviews (Bakeoff),$,Takeout,4.7
10126,Wonderful experience from start to finish.,positive,0.658,0.156,0.186,Restaurant Reviews (Bakeoff),$,Brunch,2.5
10127,I'm very happy with everything here.,positive,0.712,0.223,0.065,Restaurant Reviews (Bakeoff),$$$$,Breakfast,3.7
10128,The quality exceeded all expectations.,positive,0.655,0.286,0.058,Restaurant Reviews (Bakeoff),$,Brunch,1.1
10129,Absolutely delicious food and great service.,positive,0.678,0.259,0.062,Restaurant Reviews (Bakeoff),$$$$,Brunch,2.4
10130,The food was divine!,positive,0.547,0.361,0.093,Restaurant Reviews (Bakeoff),$$$$,Brunch,4.8
10131,I got sick after eating here.,negative,0.736,0.042,0.222,Restaurant Reviews (Bakeoff),$,Lunch,4.8
10132,The quality exceeded all expectations.,positive,0.54,0.187,0.273,Restaurant Reviews (Bakeoff),$$$$,Lunch,4.0
10133,Can't recommend this place enough!,positive,0.563,0.323,0.113,Restaurant Reviews (Bakeoff),$,Breakfast,2.6
10134,The staff was friendly and the food was delicious.,positive,0.754,0.228,0.018,Restaurant Reviews (Bakeoff),$$$$,Takeout,3.7
10135,What a great hidden gem!,positive,0.705,0.193,0.102,Restaurant Reviews (Bakeoff),$$$,Lunch,2.2
10136,What a great hidden gem!,positive,0.815,0.111,0.074,Restaurant Reviews (Bakeoff),$,Lunch,4.5
10137,The portion was small and overpriced.,negative,0.704,0.278,0.019,Restaurant Reviews (Bakeoff),$$$$,Breakfast,2.3
10138,I'm very happy with everything here.,positive,0.516,0.291,0.192,Restaurant Reviews (Bakeoff),$$,Breakfast,2.3
10139,Terrible experience - extremely disappointing.,negative,0.75,0.121,0.129,Restaurant Reviews (Bakeoff),$$$$,Breakfast,4.4
10140,"Save your money, this place is bland.",negative,0.694,0.241,0.065,Restaurant Reviews (Bakeoff),$,Breakfast,3.4
10141,I got sick after eating here.,negative,0.562,0.278,0.16,Restaurant Reviews (Bakeoff),$$$,Lunch,4.8
10142,The food was fantastic!,positive,0.648,0.151,0.202,Restaurant Reviews (Bakeoff),$$,Lunch,2.3
10143,Worst meal I've ever had.,negative,0.666,0.246,0.088,Restaurant Reviews (Bakeoff),$$,Lunch,4.9
10144,The food was outstanding!,positive,0.651,0.141,0.207,Restaurant Reviews (Bakeoff),$$$,Dinner,2.7
10145,What a great hidden gem!,positive,0.583,0.167,0.25,Restaurant Reviews (Bakeoff),$$$$,Takeout,3.1
10146,What a great hidden gem!,positive,0.827,0.058,0.115,Restaurant Reviews (Bakeoff),$,Breakfast,1.1
10147,I got sick after eating here.,negative,0.656,0.116,0.229,Restaurant Reviews (Bakeoff),$$,Dinner,3.6
10148,The portion was small and overpriced.,negative,0.679,0.109,0.212,Restaurant Reviews (Bakeoff),$$$$,Breakfast,4.3
10149,The meal was so-so but nothing memorable.,neutral,0.826,0.12,0.054,Restaurant Reviews (Bakeoff),$,Dinner,3.8
10150,Nothing special about this place.,neutral,0.559,0.219,0.222,Restaurant Reviews (Bakeoff),$,Breakfast,1.0
10151,The dessert is to die for!,positive,0.783,0.08,0.137,Restaurant Reviews (Bakeoff),$$$$,Lunch,1.0
10152,What a great hidden gem!,positive,0.89,0.075,0.035,Restaurant Reviews (Bakeoff),$$,Dinner,3.3
10153,The meal was modest but nothing memorable.,neutral,0.689,0.077,0.234,Restaurant Reviews (Bakeoff),$,Takeout,3.6
10154,What a great hidden gem!,positive,0.652,0.284,0.064,Restaurant Reviews (Bakeoff),$,Breakfast,1.1
10155,Absolutely delicious food and great service.,positive,0.568,0.118,0.314,Restaurant Reviews (Bakeoff),$,Breakfast,2.7
10156,The portion was small and overpriced.,negative,0.641,0.103,0.257,Restaurant Reviews (Bakeoff),$$$,Takeout,3.6
10157,The dessert is to die for!,positive,0.644,0.012,0.344,Restaurant Reviews (Bakeoff),$$$,Dinner,2.1
10158,Nothing special about this place.,neutral,0.707,0.18,0.113,Restaurant Reviews (Bakeoff),$$$,Dinner,4.8
10159,The food was bland.,negative,0.728,0.064,0.208,Restaurant Reviews (Bakeoff),$,Dinner,2.7
10160,Best meal in town!,positive,0.538,0.28,0.182,Restaurant Reviews (Bakeoff),$$,Dinner,3.9
10161,The food was mouth-watering!,positive,0.863,0.053,0.084,Restaurant Reviews (Bakeoff),$$$,Brunch,2.8
10162,The food tasted like garbage.,negative,0.62,0.187,0.193,Restaurant Reviews (Bakeoff),$$,Takeout,4.8
10163,What a great hidden gem!,positive,0.581,0.137,0.282,Restaurant Reviews (Bakeoff),$$,Breakfast,4.6
10164,Absolutely delicious food and great service.,positive,0.726,0.167,0.107,Restaurant Reviews (Bakeoff),$,Dinner,4.3
10165,Decent value for money.,neutral,0.744,0.159,0.097,Restaurant Reviews (Bakeoff),$$$$,Takeout,2.3
10166,What a great hidden gem!,positive,0.657,0.314,0.029,Restaurant Reviews (Bakeoff),$$$,Brunch,3.3
10167,Decent value for money.,neutral,0.887,0.083,0.03,Restaurant Reviews (Bakeoff),$$$$,Dinner,1.3
10168,Can't recommend this place enough!,positive,0.773,0.028,0.199,Restaurant Reviews (Bakeoff),$$,Dinner,3.9
10169,The food was awful.,negative,0.833,0.053,0.114,Restaurant Reviews (Bakeoff),$$$$,Brunch,3.6
10170,The dessert is to die for!,positive,0.557,0.189,0.254,Restaurant Reviews (Bakeoff),$$,Takeout,1.4
10171,The portion was small and overpriced.,negative,0.772,0.032,0.196,Restaurant Reviews (Bakeoff),$$,Breakfast,1.8
10172,The food was incredible!,positive,0.7,0.127,0.174,Restaurant Reviews (Bakeoff),$$,Breakfast,1.3
10173,"Save your money, this place is tasteless.",negative,0.683,0.228,0.089,Restaurant Reviews (Bakeoff),$$,Takeout,1.7
10174,The quality exceeded all expectations.,positive,0.483,0.278,0.24,Restaurant Reviews (Bakeoff),$$$,Lunch,2.7
10175,"Save your money, this place is terrible.",negative,0.497,0.3,0.202,Restaurant Reviews (Bakeoff),$$$,Breakfast,4.8
10176,"I've had better, I've had worse.",neutral,0.696,0.165,0.139,Restaurant Reviews (Bakeoff),$$$$,Dinner,1.7
10177,The staff was friendly and the food was divine.,positive,0.568,0.221,0.21,Restaurant Reviews (Bakeoff),$$$$,Lunch,3.8
10178,The food was okay and the service was fine.,neutral,0.473,0.349,0.178,Restaurant Reviews (Bakeoff),$$$$,Lunch,2.5
10179,Wonderful experience from start to finish.,positive,0.557,0.14,0.303,Restaurant Reviews (Bakeoff),$$$,Takeout,2.1
10180,The service was slow and the food was greasy.,negative,0.464,0.321,0.216,Restaurant Reviews (Bakeoff),$$,Takeout,4.5
10181,The food tasted like garbage.,negative,0.543,0.202,0.256,Restaurant Reviews (Bakeoff),$$,Dinner,4.6
10182,I'm very happy with everything here.,positive,0.6,0.132,0.267,Restaurant Reviews (Bakeoff),$,Dinner,2.1
10183,The quality exceeded all expectations.,positive,0.726,0.163,0.111,Restaurant Reviews (Bakeoff),$$$,Brunch,4.0
10184,Wonderful experience from start to finish.,positive,0.646,0.19,0.164,Restaurant Reviews (Bakeoff),$,Brunch,1.5
10185,Best meal in town!,positive,0.666,0.108,0.226,Restaurant Reviews (Bakeoff),$$$,Dinner,3.2
10186,Complete rip-off for the price.,negative,0.74,0.056,0.204,Restaurant Reviews (Bakeoff),$$$$,Breakfast,1.1
10187,Wonderful experience from start to finish.,positive,0.614,0.271,0.115,Restaurant Reviews (Bakeoff),$$$$,Dinner,2.4
10188,Average quality at best.,neutral,0.63,0.028,0.343,Restaurant Reviews (Bakeoff),$,Brunch,4.6
10189,The food was superb!,positive,0.476,0.285,0.239,Restaurant Reviews (Bakeoff),$$,Brunch,4.0
10190,The food tasted like garbage.,negative,0.557,0.25,0.193,Restaurant Reviews (Bakeoff),$$$,Breakfast,3.4
10191,I got sick after eating here.,negative,0.675,0.302,0.023,Restaurant Reviews (Bakeoff),$$,Brunch,2.8
10192,The food was excellent!,positive,0.561,0.28,0.16,Restaurant Reviews (Bakeoff),$$,Takeout,4.2
10193,The quality exceeded all expectations.,positive,0.789,0.111,0.1,Restaurant Reviews (Bakeoff),$$$,Lunch,2.1
10194,Best meal in town!,positive,0.725,0.241,0.034,Restaurant Reviews (Bakeoff),$,Takeout,1.3
10195,The meal was standard but nothing memorable.,neutral,0.593,0.178,0.229,Restaurant Reviews (Bakeoff),$$$,Lunch,1.7
10196,Disgusting - never coming back.,negative,0.592,0.057,0.351,Restaurant Reviews (Bakeoff),$$$,Brunch,1.1
10197,The dessert is to die for!,positive,0.595,0.074,0.331,Restaurant Reviews (Bakeoff),$$$,Breakfast,2.5
10198,Best meal in town!,positive,0.583,0.328,0.089,Restaurant Reviews (Bakeoff),$,Breakfast,1.2
10199,Terrible experience - extremely disappointing.,negative,0.543,0.345,0.111,Restaurant Reviews (Bakeoff),$$$$,Breakfast,4.0
10200,Best meal in town!,positive,0.635,0.252,0.113,Restaurant Reviews (Bakeoff),$$$$,Dinner,1.4
10201,The meal was standard but nothing memorable.,neutral,0.698,0.146,0.156,Restaurant Reviews (Bakeoff),$$$$,Takeout,2.9
10202,Can't recommend this place enough!,positive,0.773,0.098,0.129,Restaurant Reviews (Bakeoff),$$,Dinner,1.4
10203,I got sick after eating here.,negative,0.77,0.03,0.2,Restaurant Reviews (Bakeoff),$$$,Breakfast,4.9
10204,The food tasted like garbage.,negative,0.725,0.237,0.038,Restaurant Reviews (Bakeoff),$,Breakfast,4.5
10205,The dessert is to die for!,positive,0.65,0.2,0.15,Restaurant Reviews (Bakeoff),$$$$,Breakfast,2.6
10206,I'm very happy with everything here.,positive,0.59,0.282,0.128,Restaurant Reviews (Bakeoff),$$$,Breakfast,4.4
10207,Best meal in town!,positive,0.576,0.413,0.011,Restaurant Reviews (Bakeoff),$,Brunch,1.3
10208,Absolutely delicious food and great service.,positive,0.755,0.205,0.04,Restaurant Reviews (Bakeoff),$$$$,Takeout,1.6
10209,Disgusting - never coming back.,negative,0.943,0.032,0.025,Restaurant Reviews (Bakeoff),$,Breakfast,2.8
10210,"Save your money, this place is disappointing.",negative,0.572,0.253,0.175,Restaurant Reviews (Bakeoff),$$,Lunch,2.3
10211,What a great hidden gem!,positive,0.629,0.121,0.25,Restaurant Reviews (Bakeoff),$$$,Dinner,4.5
10212,Disgusting - never coming back.,negative,0.74,0.22,0.041,Restaurant Reviews (Bakeoff),$,Brunch,3.7
10213,The food was adequate.,neutral,0.648,0.028,0.323,Restaurant Reviews (Bakeoff),$$,Dinner,1.4
10214,The food was superb!,positive,0.814,0.025,0.161,Restaurant Reviews (Bakeoff),$$,Breakfast,3.3
10215,Best meal in town!,positive,0.645,0.155,0.2,Restaurant Reviews (Bakeoff),$$,Breakfast,2.6
10216,It's a standard restaurant overall.,neutral,0.581,0.358,0.061,Restaurant Reviews (Bakeoff),$$,Dinner,4.6
10217,The service was slow and the food was awful.,negative,0.883,0.095,0.022,Restaurant Reviews (Bakeoff),$$,Brunch,2.2
10218,The dessert is to die for!,positive,0.609,0.22,0.171,Restaurant Reviews (Bakeoff),$$$$,Breakfast,3.9
10219,It's a standard restaurant overall.,neutral,0.694,0.082,0.224,Restaurant Reviews (Bakeoff),$,Brunch,2.6
10220,Best meal in town!,positive,0.938,0.036,0.026,Restaurant Reviews (Bakeoff),$$$,Takeout,1.8
10221,The service was slow and the food was under-seasoned.,negative,0.721,0.079,0.2,Restaurant Reviews (Bakeoff),$,Breakfast,4.3
10222,The food was perfect!,positive,0.707,0.123,0.17,Restaurant Reviews (Bakeoff),$$,Brunch,4.3
10223,The food was standard.,neutral,0.801,0.053,0.146,Restaurant Reviews (Bakeoff),$$$,Takeout,1.9
10224,Can't recommend this place enough!,positive,0.784,0.199,0.017,Restaurant Reviews (Bakeoff),$,Lunch,3.2
10225,I'm very happy with everything here.,positive,0.82,0.078,0.102,Restaurant Reviews (Bakeoff),$$$,Takeout,3.1
10226,The quality exceeded all expectations.,positive,0.667,0.06,0.273,Restaurant Reviews (Bakeoff),$,Takeout,1.8
10227,It's a standard restaurant overall.,neutral,0.569,0.237,0.194,Restaurant Reviews (Bakeoff),$$,Lunch,3.4
10228,Best meal in town!,positive,0.759,0.09,0.151,Restaurant Reviews (Bakeoff),$$$,Breakfast,1.3
10229,The dessert is to die for!,positive,0.558,0.339,0.103,Restaurant Reviews (Bakeoff),$$$$,Lunch,3.4
10230,Best meal in town!,positive,0.604,0.273,0.123,Restaurant Reviews (Bakeoff),$$,Lunch,2.6
10231,Wonderful experience from start to finish.,positive,0.659,0.147,0.195,Restaurant Reviews (Bakeoff),$$,Takeout,2.1
10232,The food tasted like garbage.,negative,0.622,0.106,0.272,Restaurant Reviews (Bakeoff),$$$$,Lunch,3.9
10233,Terrible experience - extremely disappointing.,negative,0.691,0.057,0.252,Restaurant Reviews (Bakeoff),$$,Lunch,1.6
