example_id,review_text,domain,predicted_sentiment,confidence,model_version
56,"It had its moments, but overall pretty average.",Movies,neutral,0.821,BERT-base-finetuned
57,"Waste of time and money, completely disappointing.",Movies,negative,0.873,BERT-base-finetuned
58,"Waste of time and money, completely disappointing.",Movies,negative,0.735,BERT-base-finetuned
59,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.685,BERT-base-finetuned
60,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.912,BERT-base-finetuned
61,An absolute masterpiece that will leave you speechless!,Movies,positive,0.929,BERT-base-finetuned
62,A solid effort with some memorable scenes.,Movies,neutral,0.656,BERT-base-finetuned
63,Too long and self-indulgent for my taste.,Movies,neutral,0.769,BERT-base-finetuned
64,A decent watch but nothing groundbreaking.,Movies,neutral,0.651,BERT-base-finetuned
65,"It had its moments, but overall pretty average.",Movies,neutral,0.819,BERT-base-finetuned
66,Absolutely brilliant from start to finish!,Movies,positive,0.947,BERT-base-finetuned
67,A decent watch but nothing groundbreaking.,Movies,neutral,0.633,BERT-base-finetuned
68,A decent watch but nothing groundbreaking.,Movies,neutral,0.592,BERT-base-finetuned
69,Visually stunning with incredible performances!,Movies,positive,0.896,BERT-base-finetuned
70,The plot was predictable and the acting was wooden.,Movies,neutral,0.674,BERT-base-finetuned
71,Visually stunning with incredible performances!,Movies,positive,0.953,BERT-base-finetuned
72,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.737,BERT-base-finetuned
73,Visually stunning with incredible performances!,Movies,positive,0.834,BERT-base-finetuned
74,A solid effort with some memorable scenes.,Movies,neutral,0.734,BERT-base-finetuned
75,"It had its moments, but overall pretty average.",Movies,neutral,0.551,BERT-base-finetuned
76,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.77,BERT-base-finetuned
77,"Waste of time and money, completely disappointing.",Movies,negative,0.845,BERT-base-finetuned
78,The plot was predictable and the acting was wooden.,Movies,neutral,0.58,BERT-base-finetuned
79,"Waste of time and money, completely disappointing.",Movies,negative,0.719,BERT-base-finetuned
80,A decent watch but nothing groundbreaking.,Movies,neutral,0.83,BERT-base-finetuned
81,Absolutely brilliant from start to finish!,Movies,positive,0.858,BERT-base-finetuned
82,"Waste of time and money, completely disappointing.",Movies,negative,0.837,BERT-base-finetuned
83,An absolute masterpiece that will leave you speechless!,Movies,positive,0.798,BERT-base-finetuned
84,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.738,BERT-base-finetuned
85,The pacing was off and the ending felt rushed.,Movies,neutral,0.784,BERT-base-finetuned
86,The pacing was off and the ending felt rushed.,Movies,neutral,0.817,BERT-base-finetuned
87,"It had its moments, but overall pretty average.",Movies,neutral,0.61,BERT-base-finetuned
88,Absolutely brilliant from start to finish!,Movies,positive,0.822,BERT-base-finetuned
89,"Overhyped and underwhelming, sadly.",Movies,neutral,0.775,BERT-base-finetuned
90,"It had its moments, but overall pretty average.",Movies,neutral,0.846,BERT-base-finetuned
91,One of the best films I've seen this year!,Movies,positive,0.883,BERT-base-finetuned
92,"Overhyped and underwhelming, sadly.",Movies,neutral,0.67,BERT-base-finetuned
93,An absolute masterpiece that will leave you speechless!,Movies,positive,0.831,BERT-base-finetuned
94,A solid effort with some memorable scenes.,Movies,neutral,0.65,BERT-base-finetuned
95,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.551,BERT-base-finetuned
96,Visually stunning with incredible performances!,Movies,positive,0.945,BERT-base-finetuned
97,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.691,BERT-base-finetuned
98,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.808,BERT-base-finetuned
99,The pacing was off and the ending felt rushed.,Movies,neutral,0.72,BERT-base-finetuned
100,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.935,BERT-base-finetuned
101,An absolute masterpiece that will leave you speechless!,Movies,positive,0.782,BERT-base-finetuned
102,The plot was predictable and the acting was wooden.,Movies,neutral,0.582,BERT-base-finetuned
103,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.844,BERT-base-finetuned
104,The plot was predictable and the acting was wooden.,Movies,neutral,0.791,BERT-base-finetuned
105,An absolute masterpiece that will leave you speechless!,Movies,positive,0.786,BERT-base-finetuned
106,A decent watch but nothing groundbreaking.,Movies,neutral,0.807,BERT-base-finetuned
107,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.906,BERT-base-finetuned
108,"Overhyped and underwhelming, sadly.",Movies,neutral,0.83,BERT-base-finetuned
109,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.62,BERT-base-finetuned
110,Too long and self-indulgent for my taste.,Movies,neutral,0.777,BERT-base-finetuned
111,An absolute masterpiece that will leave you speechless!,Movies,positive,0.766,BERT-base-finetuned
112,Absolutely brilliant from start to finish!,Movies,positive,0.934,BERT-base-finetuned
113,The plot was predictable and the acting was wooden.,Movies,neutral,0.817,BERT-base-finetuned
114,One of the best films I've seen this year!,Movies,positive,0.858,BERT-base-finetuned
115,A solid effort with some memorable scenes.,Movies,neutral,0.658,BERT-base-finetuned
116,Too long and self-indulgent for my taste.,Movies,neutral,0.812,BERT-base-finetuned
117,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.659,BERT-base-finetuned
118,Absolutely brilliant from start to finish!,Movies,positive,0.917,BERT-base-finetuned
119,One of the best films I've seen this year!,Movies,positive,0.914,BERT-base-finetuned
120,Visually stunning with incredible performances!,Movies,positive,0.911,BERT-base-finetuned
121,"Waste of time and money, completely disappointing.",Movies,negative,0.943,BERT-base-finetuned
122,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.822,BERT-base-finetuned
123,An absolute masterpiece that will leave you speechless!,Movies,positive,0.951,BERT-base-finetuned
124,"Overhyped and underwhelming, sadly.",Movies,neutral,0.749,BERT-base-finetuned
125,"It had its moments, but overall pretty average.",Movies,neutral,0.769,BERT-base-finetuned
126,"Overhyped and underwhelming, sadly.",Movies,neutral,0.751,BERT-base-finetuned
127,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.739,BERT-base-finetuned
128,A decent watch but nothing groundbreaking.,Movies,neutral,0.728,BERT-base-finetuned
129,Too long and self-indulgent for my taste.,Movies,neutral,0.609,BERT-base-finetuned
130,"Waste of time and money, completely disappointing.",Movies,negative,0.714,BERT-base-finetuned
131,The pacing was off and the ending felt rushed.,Movies,neutral,0.737,BERT-base-finetuned
132,A solid effort with some memorable scenes.,Movies,neutral,0.767,BERT-base-finetuned
133,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.578,BERT-base-finetuned
134,The pacing was off and the ending felt rushed.,Movies,neutral,0.696,BERT-base-finetuned
135,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.584,BERT-base-finetuned
136,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.831,BERT-base-finetuned
137,The pacing was off and the ending felt rushed.,Movies,neutral,0.824,BERT-base-finetuned
138,"It had its moments, but overall pretty average.",Movies,neutral,0.801,BERT-base-finetuned
139,A decent watch but nothing groundbreaking.,Movies,neutral,0.619,BERT-base-finetuned
140,The pacing was off and the ending felt rushed.,Movies,neutral,0.688,BERT-base-finetuned
141,A decent watch but nothing groundbreaking.,Movies,neutral,0.767,BERT-base-finetuned
142,Visually stunning with incredible performances!,Movies,positive,0.872,BERT-base-finetuned
143,The pacing was off and the ending felt rushed.,Movies,neutral,0.661,BERT-base-finetuned
144,One of the best films I've seen this year!,Movies,positive,0.915,BERT-base-finetuned
145,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.814,BERT-base-finetuned
146,"It had its moments, but overall pretty average.",Movies,neutral,0.804,BERT-base-finetuned
147,One of the best films I've seen this year!,Movies,positive,0.775,BERT-base-finetuned
148,"It had its moments, but overall pretty average.",Movies,neutral,0.821,BERT-base-finetuned
149,The plot was predictable and the acting was wooden.,Movies,neutral,0.57,BERT-base-finetuned
150,Absolutely brilliant from start to finish!,Movies,positive,0.775,BERT-base-finetuned
151,"Overhyped and underwhelming, sadly.",Movies,neutral,0.74,BERT-base-finetuned
152,Absolutely brilliant from start to finish!,Movies,positive,0.914,BERT-base-finetuned
153,A solid effort with some memorable scenes.,Movies,neutral,0.705,BERT-base-finetuned
154,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.584,BERT-base-finetuned
155,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.689,BERT-base-finetuned
156,"It had its moments, but overall pretty average.",Movies,neutral,0.64,BERT-base-finetuned
157,"It had its moments, but overall pretty average.",Movies,neutral,0.588,BERT-base-finetuned
158,Absolutely brilliant from start to finish!,Movies,positive,0.767,BERT-base-finetuned
159,One of the best films I've seen this year!,Movies,positive,0.787,BERT-base-finetuned
160,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.974,BERT-base-finetuned
161,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.826,BERT-base-finetuned
162,Visually stunning with incredible performances!,Movies,positive,0.861,BERT-base-finetuned
163,Too long and self-indulgent for my taste.,Movies,neutral,0.73,BERT-base-finetuned
164,Absolutely brilliant from start to finish!,Movies,positive,0.9,BERT-base-finetuned
165,"It had its moments, but overall pretty average.",Movies,neutral,0.699,BERT-base-finetuned
166,"It had its moments, but overall pretty average.",Movies,neutral,0.677,BERT-base-finetuned
167,Visually stunning with incredible performances!,Movies,positive,0.964,BERT-base-finetuned
168,"Waste of time and money, completely disappointing.",Movies,negative,0.722,BERT-base-finetuned
169,The pacing was off and the ending felt rushed.,Movies,neutral,0.743,BERT-base-finetuned
170,"Waste of time and money, completely disappointing.",Movies,negative,0.783,BERT-base-finetuned
171,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.682,BERT-base-finetuned
172,Too long and self-indulgent for my taste.,Movies,neutral,0.554,BERT-base-finetuned
173,Visually stunning with incredible performances!,Movies,positive,0.801,BERT-base-finetuned
174,Absolutely brilliant from start to finish!,Movies,positive,0.797,BERT-base-finetuned
175,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.776,BERT-base-finetuned
176,A decent watch but nothing groundbreaking.,Movies,neutral,0.807,BERT-base-finetuned
177,A solid effort with some memorable scenes.,Movies,neutral,0.6,BERT-base-finetuned
178,"Waste of time and money, completely disappointing.",Movies,negative,0.716,BERT-base-finetuned
179,"Waste of time and money, completely disappointing.",Movies,negative,0.71,BERT-base-finetuned
180,The plot was predictable and the acting was wooden.,Movies,neutral,0.669,BERT-base-finetuned
181,Visually stunning with incredible performances!,Movies,positive,0.871,BERT-base-finetuned
182,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.579,BERT-base-finetuned
183,"It had its moments, but overall pretty average.",Movies,neutral,0.614,BERT-base-finetuned
184,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.784,BERT-base-finetuned
185,The pacing was off and the ending felt rushed.,Movies,neutral,0.625,BERT-base-finetuned
186,A solid effort with some memorable scenes.,Movies,neutral,0.568,BERT-base-finetuned
187,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.843,BERT-base-finetuned
188,An absolute masterpiece that will leave you speechless!,Movies,positive,0.786,BERT-base-finetuned
189,A solid effort with some memorable scenes.,Movies,neutral,0.839,BERT-base-finetuned
190,One of the best films I've seen this year!,Movies,positive,0.763,BERT-base-finetuned
191,An absolute masterpiece that will leave you speechless!,Movies,positive,0.864,BERT-base-finetuned
192,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.888,BERT-base-finetuned
193,The pacing was off and the ending felt rushed.,Movies,neutral,0.638,BERT-base-finetuned
194,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.954,BERT-base-finetuned
195,The plot was predictable and the acting was wooden.,Movies,neutral,0.775,BERT-base-finetuned
196,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.682,BERT-base-finetuned
197,An absolute masterpiece that will leave you speechless!,Movies,positive,0.767,BERT-base-finetuned
198,An absolute masterpiece that will leave you speechless!,Movies,positive,0.957,BERT-base-finetuned
199,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.644,BERT-base-finetuned
200,Too long and self-indulgent for my taste.,Movies,neutral,0.745,BERT-base-finetuned
201,"It had its moments, but overall pretty average.",Movies,neutral,0.656,BERT-base-finetuned
202,Absolutely brilliant from start to finish!,Movies,positive,0.945,BERT-base-finetuned
203,The plot was predictable and the acting was wooden.,Movies,neutral,0.652,BERT-base-finetuned
204,Visually stunning with incredible performances!,Movies,positive,0.864,BERT-base-finetuned
205,A solid effort with some memorable scenes.,Movies,neutral,0.628,BERT-base-finetuned
206,The pacing was off and the ending felt rushed.,Movies,neutral,0.838,BERT-base-finetuned
207,"Waste of time and money, completely disappointing.",Movies,negative,0.745,BERT-base-finetuned
208,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.812,BERT-base-finetuned
209,The pacing was off and the ending felt rushed.,Movies,neutral,0.724,BERT-base-finetuned
210,A decent watch but nothing groundbreaking.,Movies,neutral,0.637,BERT-base-finetuned
211,"Waste of time and money, completely disappointing.",Movies,negative,0.855,BERT-base-finetuned
212,"It had its moments, but overall pretty average.",Movies,neutral,0.714,BERT-base-finetuned
213,"Waste of time and money, completely disappointing.",Movies,negative,0.939,BERT-base-finetuned
214,One of the best films I've seen this year!,Movies,positive,0.97,BERT-base-finetuned
215,A decent watch but nothing groundbreaking.,Movies,neutral,0.812,BERT-base-finetuned
216,A solid effort with some memorable scenes.,Movies,neutral,0.806,BERT-base-finetuned
217,Visually stunning with incredible performances!,Movies,positive,0.968,BERT-base-finetuned
218,An absolute masterpiece that will leave you speechless!,Movies,positive,0.848,BERT-base-finetuned
219,The pacing was off and the ending felt rushed.,Movies,neutral,0.566,BERT-base-finetuned
220,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.782,BERT-base-finetuned
221,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.962,BERT-base-finetuned
222,A solid effort with some memorable scenes.,Movies,neutral,0.645,BERT-base-finetuned
223,An absolute masterpiece that will leave you speechless!,Movies,positive,0.959,BERT-base-finetuned
224,One of the best films I've seen this year!,Movies,positive,0.753,BERT-base-finetuned
225,Too long and self-indulgent for my taste.,Movies,neutral,0.832,BERT-base-finetuned
226,"Overhyped and underwhelming, sadly.",Movies,neutral,0.609,BERT-base-finetuned
227,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.758,BERT-base-finetuned
228,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.747,BERT-base-finetuned
229,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.651,BERT-base-finetuned
230,An absolute masterpiece that will leave you speechless!,Movies,positive,0.808,BERT-base-finetuned
231,Absolutely brilliant from start to finish!,Movies,positive,0.876,BERT-base-finetuned
232,"Waste of time and money, completely disappointing.",Movies,negative,0.733,BERT-base-finetuned
233,An absolute masterpiece that will leave you speechless!,Movies,positive,0.967,BERT-base-finetuned
234,A solid effort with some memorable scenes.,Movies,neutral,0.702,BERT-base-finetuned
235,One of the best films I've seen this year!,Movies,positive,0.769,BERT-base-finetuned
236,One of the best films I've seen this year!,Movies,positive,0.89,BERT-base-finetuned
237,"Waste of time and money, completely disappointing.",Movies,negative,0.763,BERT-base-finetuned
238,The pacing was off and the ending felt rushed.,Movies,neutral,0.611,BERT-base-finetuned
239,The pacing was off and the ending felt rushed.,Movies,neutral,0.754,BERT-base-finetuned
240,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.651,BERT-base-finetuned
241,A decent watch but nothing groundbreaking.,Movies,neutral,0.665,BERT-base-finetuned
242,Absolutely brilliant from start to finish!,Movies,positive,0.978,BERT-base-finetuned
243,Too long and self-indulgent for my taste.,Movies,neutral,0.758,BERT-base-finetuned
244,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.557,BERT-base-finetuned
245,A decent watch but nothing groundbreaking.,Movies,neutral,0.801,BERT-base-finetuned
246,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.881,BERT-base-finetuned
247,The pacing was off and the ending felt rushed.,Movies,neutral,0.703,BERT-base-finetuned
248,A solid effort with some memorable scenes.,Movies,neutral,0.774,BERT-base-finetuned
249,Absolutely brilliant from start to finish!,Movies,positive,0.764,BERT-base-finetuned
250,An absolute masterpiece that will leave you speechless!,Movies,positive,0.97,BERT-base-finetuned
251,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.699,BERT-base-finetuned
252,The pacing was off and the ending felt rushed.,Movies,neutral,0.843,BERT-base-finetuned
253,"It had its moments, but overall pretty average.",Movies,neutral,0.778,BERT-base-finetuned
254,One of the best films I've seen this year!,Movies,positive,0.847,BERT-base-finetuned
255,Visually stunning with incredible performances!,Movies,positive,0.915,BERT-base-finetuned
256,The plot was predictable and the acting was wooden.,Movies,neutral,0.848,BERT-base-finetuned
257,"Waste of time and money, completely disappointing.",Movies,negative,0.839,BERT-base-finetuned
258,One of the best films I've seen this year!,Movies,positive,0.9,BERT-base-finetuned
259,The pacing was off and the ending felt rushed.,Movies,neutral,0.621,BERT-base-finetuned
260,An absolute masterpiece that will leave you speechless!,Movies,positive,0.884,BERT-base-finetuned
261,"Waste of time and money, completely disappointing.",Movies,negative,0.897,BERT-base-finetuned
262,Too long and self-indulgent for my taste.,Movies,neutral,0.733,BERT-base-finetuned
263,A solid effort with some memorable scenes.,Movies,neutral,0.784,BERT-base-finetuned
264,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.672,BERT-base-finetuned
265,The pacing was off and the ending felt rushed.,Movies,neutral,0.849,BERT-base-finetuned
266,The pacing was off and the ending felt rushed.,Movies,neutral,0.574,BERT-base-finetuned
267,"Overhyped and underwhelming, sadly.",Movies,neutral,0.675,BERT-base-finetuned
268,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.553,BERT-base-finetuned
269,The pacing was off and the ending felt rushed.,Movies,neutral,0.631,BERT-base-finetuned
270,The plot was predictable and the acting was wooden.,Movies,neutral,0.742,BERT-base-finetuned
271,"It had its moments, but overall pretty average.",Movies,neutral,0.776,BERT-base-finetuned
272,"It had its moments, but overall pretty average.",Movies,neutral,0.789,BERT-base-finetuned
273,"It had its moments, but overall pretty average.",Movies,neutral,0.786,BERT-base-finetuned
274,The pacing was off and the ending felt rushed.,Movies,neutral,0.622,BERT-base-finetuned
275,"It had its moments, but overall pretty average.",Movies,neutral,0.763,BERT-base-finetuned
276,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.851,BERT-base-finetuned
277,Too long and self-indulgent for my taste.,Movies,neutral,0.797,BERT-base-finetuned
278,One of the best films I've seen this year!,Movies,positive,0.934,BERT-base-finetuned
279,Absolutely brilliant from start to finish!,Movies,positive,0.974,BERT-base-finetuned
280,An absolute masterpiece that will leave you speechless!,Movies,positive,0.959,BERT-base-finetuned
281,An absolute masterpiece that will leave you speechless!,Movies,positive,0.973,BERT-base-finetuned
282,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.919,BERT-base-finetuned
283,"Overhyped and underwhelming, sadly.",Movies,neutral,0.775,BERT-base-finetuned
284,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.809,BERT-base-finetuned
285,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.572,BERT-base-finetuned
286,Too long and self-indulgent for my taste.,Movies,neutral,0.652,BERT-base-finetuned
287,The pacing was off and the ending felt rushed.,Movies,neutral,0.761,BERT-base-finetuned
288,"It had its moments, but overall pretty average.",Movies,neutral,0.612,BERT-base-finetuned
289,"Waste of time and money, completely disappointing.",Movies,negative,0.877,BERT-base-finetuned
290,"Waste of time and money, completely disappointing.",Movies,negative,0.938,BERT-base-finetuned
291,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.552,BERT-base-finetuned
292,"Waste of time and money, completely disappointing.",Movies,negative,0.768,BERT-base-finetuned
293,A solid effort with some memorable scenes.,Movies,neutral,0.834,BERT-base-finetuned
294,"Waste of time and money, completely disappointing.",Movies,negative,0.853,BERT-base-finetuned
295,Visually stunning with incredible performances!,Movies,positive,0.823,BERT-base-finetuned
296,Absolutely brilliant from start to finish!,Movies,positive,0.791,BERT-base-finetuned
297,A solid effort with some memorable scenes.,Movies,neutral,0.556,BERT-base-finetuned
298,"It had its moments, but overall pretty average.",Movies,neutral,0.556,BERT-base-finetuned
299,"Waste of time and money, completely disappointing.",Movies,negative,0.932,BERT-base-finetuned
300,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.794,BERT-base-finetuned
301,A decent watch but nothing groundbreaking.,Movies,neutral,0.84,BERT-base-finetuned
302,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.682,BERT-base-finetuned
303,A decent watch but nothing groundbreaking.,Movies,neutral,0.711,BERT-base-finetuned
304,"It had its moments, but overall pretty average.",Movies,neutral,0.826,BERT-base-finetuned
305,Too long and self-indulgent for my taste.,Movies,neutral,0.838,BERT-base-finetuned
306,The plot was predictable and the acting was wooden.,Movies,neutral,0.557,BERT-base-finetuned
307,"It had its moments, but overall pretty average.",Movies,neutral,0.742,BERT-base-finetuned
308,The plot was predictable and the acting was wooden.,Movies,neutral,0.678,BERT-base-finetuned
309,The pacing was off and the ending felt rushed.,Movies,neutral,0.659,BERT-base-finetuned
310,"It had its moments, but overall pretty average.",Movies,neutral,0.641,BERT-base-finetuned
311,"Overhyped and underwhelming, sadly.",Movies,neutral,0.687,BERT-base-finetuned
312,"Overhyped and underwhelming, sadly.",Movies,neutral,0.762,BERT-base-finetuned
313,The pacing was off and the ending felt rushed.,Movies,neutral,0.648,BERT-base-finetuned
314,A decent watch but nothing groundbreaking.,Movies,neutral,0.636,BERT-base-finetuned
315,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.784,BERT-base-finetuned
316,The pacing was off and the ending felt rushed.,Movies,neutral,0.585,BERT-base-finetuned
317,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.862,BERT-base-finetuned
318,Visually stunning with incredible performances!,Movies,positive,0.891,BERT-base-finetuned
319,Visually stunning with incredible performances!,Movies,positive,0.791,BERT-base-finetuned
320,The pacing was off and the ending felt rushed.,Movies,neutral,0.803,BERT-base-finetuned
321,One of the best films I've seen this year!,Movies,positive,0.852,BERT-base-finetuned
322,"Waste of time and money, completely disappointing.",Movies,negative,0.858,BERT-base-finetuned
323,A decent watch but nothing groundbreaking.,Movies,neutral,0.778,BERT-base-finetuned
324,A decent watch but nothing groundbreaking.,Movies,neutral,0.777,BERT-base-finetuned
325,One of the best films I've seen this year!,Movies,positive,0.754,BERT-base-finetuned
326,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.863,BERT-base-finetuned
327,"Overhyped and underwhelming, sadly.",Movies,neutral,0.601,BERT-base-finetuned
328,The pacing was off and the ending felt rushed.,Movies,neutral,0.654,BERT-base-finetuned
329,Absolutely brilliant from start to finish!,Movies,positive,0.911,BERT-base-finetuned
330,The plot was predictable and the acting was wooden.,Movies,neutral,0.697,BERT-base-finetuned
331,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.828,BERT-base-finetuned
332,The plot was predictable and the acting was wooden.,Movies,neutral,0.753,BERT-base-finetuned
