sentence_id,review_text,predicted_sentiment,confidence_score,dataset,movie_genre,review_length
71,One of the most remarkable movies I've ever seen.,positive,0.943,SST-3 (Movies),Action,9
72,The direction was awful and the script was ridiculous.,negative,0.89,SST-3 (Movies),Action,9
73,I was amazed by this incredible film.,positive,0.606,SST-3 (Movies),Romance,7
74,The direction was awful and the script was stupid.,negative,0.683,SST-3 (Movies),Sci-Fi,9
75,It's a passable experience overall.,neutral,0.811,SST-3 (Movies),Horror,5
76,It was an okay film.,neutral,0.794,SST-3 (Movies),Comedy,5
77,One of the most outstanding movies I've ever seen.,positive,0.817,SST-3 (Movies),Romance,9
78,"Not great, not terrible, just decent.",neutral,0.621,SST-3 (Movies),Drama,6
79,A passable movie that had some good moments.,neutral,0.89,SST-3 (Movies),Romance,8
80,This movie was wonderful!,positive,0.858,SST-3 (Movies),Horror,4
81,Terrible - I want my money back!,negative,0.793,SST-3 (Movies),Action,7
82,The direction was awful and the script was dreadful.,negative,0.734,SST-3 (Movies),Romance,9
83,What a mediocre waste of time.,negative,0.981,SST-3 (Movies),Romance,6
84,It was an so-so film.,neutral,0.761,SST-3 (Movies),Comedy,5
85,The acting was stellar and the story was incredible.,positive,0.671,SST-3 (Movies),Sci-Fi,9
86,"Not great, not terrible, just forgettable.",neutral,0.849,SST-3 (Movies),Comedy,6
87,Terrible - I want my money back!,negative,0.811,SST-3 (Movies),Romance,7
88,I've never seen such terrible performances.,negative,0.815,SST-3 (Movies),Action,6
89,Boring from start to finish.,negative,0.693,SST-3 (Movies),Drama,5
90,One of the most incredible movies I've ever seen.,positive,0.727,SST-3 (Movies),Action,9
91,What a outstanding experience!,positive,0.814,SST-3 (Movies),Romance,4
92,Absolutely extraordinary film!,positive,0.711,SST-3 (Movies),Drama,3
93,This movie was unforgettable!,positive,0.81,SST-3 (Movies),Drama,4
94,It was acceptable - that's all I can say.,neutral,0.956,SST-3 (Movies),Horror,9
95,It was an modest film.,neutral,0.944,SST-3 (Movies),Action,5
96,Terrible - I want my money back!,negative,0.956,SST-3 (Movies),Drama,7
97,A fantastic masterpiece that blew me away.,positive,0.631,SST-3 (Movies),Drama,7
98,Brilliant performances throughout!,positive,0.91,SST-3 (Movies),Romance,3
99,Complete disaster - don't waste your money.,negative,0.814,SST-3 (Movies),Comedy,7
100,Absolutely powerful film!,positive,0.879,SST-3 (Movies),Comedy,3
101,A superb masterpiece that blew me away.,positive,0.831,SST-3 (Movies),Comedy,7
102,I've never seen such boring performances.,negative,0.729,SST-3 (Movies),Romance,6
103,This is hands down the disappointing film of the year.,negative,0.975,SST-3 (Movies),Romance,10
104,This is hands down the pointless film of the year.,negative,0.601,SST-3 (Movies),Drama,10
105,What a powerful experience!,positive,0.876,SST-3 (Movies),Horror,4
106,This movie was boring.,negative,0.676,SST-3 (Movies),Horror,4
107,A acceptable movie that had some good moments.,neutral,0.895,SST-3 (Movies),Drama,8
108,Absolutely unforgettable film!,positive,0.632,SST-3 (Movies),Action,3
109,The direction was awful and the script was annoying.,negative,0.877,SST-3 (Movies),Action,9
110,The acting was terrible and the plot was awful.,negative,0.614,SST-3 (Movies),Horror,9
111,A extraordinary masterpiece that blew me away.,positive,0.97,SST-3 (Movies),Drama,7
112,Absolutely spectacular film!,positive,0.847,SST-3 (Movies),Sci-Fi,3
113,I was amazed by this incredible film.,positive,0.624,SST-3 (Movies),Action,7
114,A incredible masterpiece that blew me away.,positive,0.91,SST-3 (Movies),Sci-Fi,7
115,A wonderful masterpiece that blew me away.,positive,0.984,SST-3 (Movies),Comedy,7
116,This is hands down the stupid film of the year.,negative,0.848,SST-3 (Movies),Romance,10
117,One of the most powerful movies I've ever seen.,positive,0.645,SST-3 (Movies),Drama,9
118,This movie was dreadful.,negative,0.978,SST-3 (Movies),Comedy,4
119,Absolutely wonderful film!,positive,0.611,SST-3 (Movies),Drama,3
120,The acting was unforgettable and the story was incredible.,positive,0.629,SST-3 (Movies),Action,9
121,It was an acceptable film.,neutral,0.786,SST-3 (Movies),Drama,5
122,I was amazed by this incredible film.,positive,0.726,SST-3 (Movies),Romance,7
123,Brilliant performances throughout!,positive,0.748,SST-3 (Movies),Drama,3
124,Boring from start to finish.,negative,0.896,SST-3 (Movies),Sci-Fi,5
125,"Nothing special, just forgettable.",neutral,0.729,SST-3 (Movies),Drama,4
126,The acting was powerful and the story was incredible.,positive,0.789,SST-3 (Movies),Action,9
127,Brilliant performances throughout!,positive,0.634,SST-3 (Movies),Romance,3
128,Complete disaster - don't waste your money.,negative,0.733,SST-3 (Movies),Action,7
129,What a dreadful waste of time.,negative,0.97,SST-3 (Movies),Drama,6
130,Absolutely stellar film!,positive,0.616,SST-3 (Movies),Sci-Fi,3
131,A ridiculous disaster that disappointed me.,negative,0.717,SST-3 (Movies),Horror,6
132,What a magnificent experience!,positive,0.732,SST-3 (Movies),Action,4
133,A adequate movie that had some good moments.,neutral,0.612,SST-3 (Movies),Drama,8
134,Brilliant performances throughout!,positive,0.736,SST-3 (Movies),Romance,3
135,A annoying disaster that disappointed me.,negative,0.872,SST-3 (Movies),Sci-Fi,6
136,It was average - that's all I can say.,neutral,0.956,SST-3 (Movies),Romance,9
137,I was amazed by this incredible film.,positive,0.648,SST-3 (Movies),Comedy,7
138,The acting was decent and the story was passable.,neutral,0.798,SST-3 (Movies),Horror,9
139,Terrible - I want my money back!,negative,0.696,SST-3 (Movies),Action,7
140,I've never seen such mediocre performances.,negative,0.859,SST-3 (Movies),Romance,6
141,One of the most wonderful movies I've ever seen.,positive,0.612,SST-3 (Movies),Horror,9
142,The movie was passable but also entertaining.,neutral,0.892,SST-3 (Movies),Sci-Fi,7
143,Absolutely stellar film!,positive,0.652,SST-3 (Movies),Action,3
144,I was amazed by this incredible film.,positive,0.729,SST-3 (Movies),Sci-Fi,7
145,What a stupid waste of time.,negative,0.852,SST-3 (Movies),Sci-Fi,6
146,What a fantastic experience!,positive,0.942,SST-3 (Movies),Drama,4
147,I was amazed by this incredible film.,positive,0.761,SST-3 (Movies),Romance,7
148,The acting was decent and the story was okay.,neutral,0.751,SST-3 (Movies),Horror,9
149,Terrible - I want my money back!,negative,0.787,SST-3 (Movies),Action,7
150,This movie was brilliant!,positive,0.813,SST-3 (Movies),Action,4
151,"Not great, not terrible, just mediocre.",neutral,0.637,SST-3 (Movies),Action,6
152,The acting was outstanding and the story was incredible.,positive,0.73,SST-3 (Movies),Horror,9
153,Boring from start to finish.,negative,0.933,SST-3 (Movies),Drama,5
154,Brilliant performances throughout!,positive,0.867,SST-3 (Movies),Sci-Fi,3
155,It was fair - that's all I can say.,neutral,0.902,SST-3 (Movies),Romance,9
156,What a incredible experience!,positive,0.663,SST-3 (Movies),Romance,4
157,"Not great, not terrible, just passable.",neutral,0.763,SST-3 (Movies),Action,6
158,It's a so-so experience overall.,neutral,0.677,SST-3 (Movies),Romance,5
159,Terrible - I want my money back!,negative,0.716,SST-3 (Movies),Drama,7
160,The acting was powerful and the story was incredible.,positive,0.832,SST-3 (Movies),Horror,9
161,I have mixed feelings about this film.,neutral,0.839,SST-3 (Movies),Sci-Fi,7
162,Brilliant performances throughout!,positive,0.973,SST-3 (Movies),Action,3
163,I was amazed by this incredible film.,positive,0.878,SST-3 (Movies),Comedy,7
164,The direction was awful and the script was stupid.,negative,0.94,SST-3 (Movies),Horror,9
165,The acting was extraordinary and the story was incredible.,positive,0.989,SST-3 (Movies),Horror,9
166,A wonderful masterpiece that blew me away.,positive,0.723,SST-3 (Movies),Sci-Fi,7
167,What a spectacular experience!,positive,0.896,SST-3 (Movies),Drama,4
168,A frustrating disaster that disappointed me.,negative,0.806,SST-3 (Movies),Romance,6
169,I have mixed feelings about this film.,neutral,0.76,SST-3 (Movies),Romance,7
170,I was amazed by this incredible film.,positive,0.802,SST-3 (Movies),Action,7
171,What a terrible waste of time.,negative,0.899,SST-3 (Movies),Sci-Fi,6
172,Complete disaster - don't waste your money.,negative,0.659,SST-3 (Movies),Sci-Fi,7
173,This movie was extraordinary!,positive,0.92,SST-3 (Movies),Action,4
174,Complete disaster - don't waste your money.,negative,0.848,SST-3 (Movies),Action,7
175,A so-so movie that had some good moments.,neutral,0.688,SST-3 (Movies),Drama,8
176,Absolutely remarkable film!,positive,0.725,SST-3 (Movies),Romance,3
177,The acting was powerful and the story was incredible.,positive,0.756,SST-3 (Movies),Sci-Fi,9
178,The direction was awful and the script was pointless.,negative,0.605,SST-3 (Movies),Horror,9
179,I've never seen such horrible performances.,negative,0.791,SST-3 (Movies),Comedy,6
180,A pathetic disaster that disappointed me.,negative,0.796,SST-3 (Movies),Drama,6
181,"This film exceeded all expectations, it was superb.",positive,0.928,SST-3 (Movies),Action,8
182,It was forgettable - that's all I can say.,neutral,0.73,SST-3 (Movies),Action,9
183,The acting was extraordinary and the story was incredible.,positive,0.779,SST-3 (Movies),Drama,9
184,This movie was extraordinary!,positive,0.638,SST-3 (Movies),Comedy,4
185,"This film exceeded all expectations, it was incredible.",positive,0.868,SST-3 (Movies),Action,8
186,Brilliant performances throughout!,positive,0.888,SST-3 (Movies),Sci-Fi,3
187,I've never seen such pathetic performances.,negative,0.745,SST-3 (Movies),Drama,6
188,Brilliant performances throughout!,positive,0.698,SST-3 (Movies),Action,3
189,The acting was decent and the story was ordinary.,neutral,0.829,SST-3 (Movies),Romance,9
190,I was amazed by this incredible film.,positive,0.66,SST-3 (Movies),Drama,7
191,The cinematography was stunning and stellar.,positive,0.677,SST-3 (Movies),Horror,6
192,The movie was mediocre but also entertaining.,neutral,0.943,SST-3 (Movies),Romance,7
193,It's a decent experience overall.,neutral,0.686,SST-3 (Movies),Sci-Fi,5
194,This movie was mediocre.,negative,0.705,SST-3 (Movies),Action,4
195,The acting was decent and the story was acceptable.,neutral,0.632,SST-3 (Movies),Action,9
196,I was amazed by this incredible film.,positive,0.974,SST-3 (Movies),Sci-Fi,7
197,It's a acceptable experience overall.,neutral,0.873,SST-3 (Movies),Comedy,5
198,Absolutely unforgettable film!,positive,0.688,SST-3 (Movies),Drama,3
199,The acting was excellent and the story was incredible.,positive,0.764,SST-3 (Movies),Action,9
200,The direction was awful and the script was stupid.,negative,0.84,SST-3 (Movies),Romance,9
201,The movie was ordinary but also entertaining.,neutral,0.774,SST-3 (Movies),Sci-Fi,7
202,What a boring waste of time.,negative,0.976,SST-3 (Movies),Horror,6
203,Brilliant performances throughout!,positive,0.735,SST-3 (Movies),Comedy,3
204,I have mixed feelings about this film.,neutral,0.775,SST-3 (Movies),Action,7
205,Boring from start to finish.,negative,0.812,SST-3 (Movies),Romance,5
206,This movie was awful.,negative,0.71,SST-3 (Movies),Comedy,4
207,I have mixed feelings about this film.,neutral,0.674,SST-3 (Movies),Horror,7
208,The direction was awful and the script was disappointing.,negative,0.95,SST-3 (Movies),Comedy,9
209,Boring from start to finish.,negative,0.978,SST-3 (Movies),Comedy,5
210,This movie was unforgettable!,positive,0.671,SST-3 (Movies),Drama,4
211,This movie was incredible!,positive,0.761,SST-3 (Movies),Action,4
212,A excellent masterpiece that blew me away.,positive,0.83,SST-3 (Movies),Comedy,7
213,The cinematography was stunning and outstanding.,positive,0.764,SST-3 (Movies),Action,6
214,This movie was excellent!,positive,0.828,SST-3 (Movies),Action,4
215,Brilliant performances throughout!,positive,0.97,SST-3 (Movies),Sci-Fi,3
216,I was amazed by this incredible film.,positive,0.656,SST-3 (Movies),Action,7
217,Boring from start to finish.,negative,0.973,SST-3 (Movies),Comedy,5
218,I've never seen such nonsensical performances.,negative,0.618,SST-3 (Movies),Sci-Fi,6
219,A powerful masterpiece that blew me away.,positive,0.632,SST-3 (Movies),Comedy,7
220,"This film exceeded all expectations, it was extraordinary.",positive,0.835,SST-3 (Movies),Sci-Fi,8
221,The cinematography was stunning and remarkable.,positive,0.616,SST-3 (Movies),Romance,6
222,The acting was terrible and the plot was horrible.,negative,0.85,SST-3 (Movies),Romance,9
223,The cinematography was stunning and amazing.,positive,0.963,SST-3 (Movies),Drama,6
224,What a stellar experience!,positive,0.778,SST-3 (Movies),Sci-Fi,4
225,The cinematography was stunning and stellar.,positive,0.605,SST-3 (Movies),Comedy,6
226,Brilliant performances throughout!,positive,0.627,SST-3 (Movies),Romance,3
227,A brilliant masterpiece that blew me away.,positive,0.986,SST-3 (Movies),Drama,7
228,Absolutely unforgettable film!,positive,0.966,SST-3 (Movies),Romance,3
229,This movie was brilliant!,positive,0.73,SST-3 (Movies),Action,4
230,A incredible masterpiece that blew me away.,positive,0.944,SST-3 (Movies),Action,7
231,Absolutely amazing film!,positive,0.866,SST-3 (Movies),Horror,3
232,What a magnificent experience!,positive,0.715,SST-3 (Movies),Action,4
233,Complete disaster - don't waste your money.,negative,0.661,SST-3 (Movies),Romance,7
234,A outstanding masterpiece that blew me away.,positive,0.74,SST-3 (Movies),Sci-Fi,7
235,The cinematography was stunning and stellar.,positive,0.632,SST-3 (Movies),Action,6
236,Complete disaster - don't waste your money.,negative,0.607,SST-3 (Movies),Drama,7
237,A magnificent masterpiece that blew me away.,positive,0.754,SST-3 (Movies),Horror,7
238,What a spectacular experience!,positive,0.689,SST-3 (Movies),Romance,4
239,This movie was laughable.,negative,0.959,SST-3 (Movies),Drama,4
240,What a ridiculous waste of time.,negative,0.981,SST-3 (Movies),Romance,6
241,The cinematography was stunning and fantastic.,positive,0.838,SST-3 (Movies),Horror,6
242,I have mixed feelings about this film.,neutral,0.776,SST-3 (Movies),Horror,7
243,The cinematography was stunning and unforgettable.,positive,0.666,SST-3 (Movies),Action,6
244,Complete disaster - don't waste your money.,negative,0.633,SST-3 (Movies),Horror,7
245,A pointless disaster that disappointed me.,negative,0.916,SST-3 (Movies),Action,6
246,This movie was disappointing.,negative,0.654,SST-3 (Movies),Comedy,4
247,What a disappointing waste of time.,negative,0.949,SST-3 (Movies),Horror,6
248,Boring from start to finish.,negative,0.824,SST-3 (Movies),Drama,5
249,"This film exceeded all expectations, it was extraordinary.",positive,0.953,SST-3 (Movies),Action,8
250,The cinematography was stunning and excellent.,positive,0.842,SST-3 (Movies),Sci-Fi,6
251,The acting was terrible and the plot was laughable.,negative,0.732,SST-3 (Movies),Romance,9
252,Complete disaster - don't waste your money.,negative,0.895,SST-3 (Movies),Comedy,7
253,What a fantastic experience!,positive,0.969,SST-3 (Movies),Horror,4
254,This movie was spectacular!,positive,0.813,SST-3 (Movies),Action,4
255,"This film exceeded all expectations, it was outstanding.",positive,0.985,SST-3 (Movies),Comedy,8
256,This movie was outstanding!,positive,0.662,SST-3 (Movies),Romance,4
257,Boring from start to finish.,negative,0.794,SST-3 (Movies),Romance,5
258,Boring from start to finish.,negative,0.693,SST-3 (Movies),Romance,5
259,Absolutely superb film!,positive,0.815,SST-3 (Movies),Drama,3
260,The cinematography was stunning and unforgettable.,positive,0.669,SST-3 (Movies),Comedy,6
261,Complete disaster - don't waste your money.,negative,0.661,SST-3 (Movies),Sci-Fi,7
262,Terrible - I want my money back!,negative,0.798,SST-3 (Movies),Drama,7
263,What a remarkable experience!,positive,0.751,SST-3 (Movies),Horror,4
264,The cinematography was stunning and superb.,positive,0.808,SST-3 (Movies),Comedy,6
265,The cinematography was stunning and superb.,positive,0.758,SST-3 (Movies),Horror,6
266,The acting was amazing and the story was incredible.,positive,0.633,SST-3 (Movies),Drama,9
267,It was acceptable - that's all I can say.,neutral,0.752,SST-3 (Movies),Comedy,9
268,It was an fair film.,neutral,0.629,SST-3 (Movies),Sci-Fi,5
269,The direction was awful and the script was horrible.,negative,0.636,SST-3 (Movies),Comedy,9
270,Brilliant performances throughout!,positive,0.952,SST-3 (Movies),Comedy,3
271,"Some parts were good, others were mediocre.",neutral,0.765,SST-3 (Movies),Action,7
272,I was amazed by this incredible film.,positive,0.625,SST-3 (Movies),Horror,7
273,A magnificent masterpiece that blew me away.,positive,0.721,SST-3 (Movies),Romance,7
274,What a horrible waste of time.,negative,0.952,SST-3 (Movies),Horror,6
275,It was modest - that's all I can say.,neutral,0.641,SST-3 (Movies),Drama,9
276,Brilliant performances throughout!,positive,0.852,SST-3 (Movies),Horror,3
277,I was amazed by this incredible film.,positive,0.958,SST-3 (Movies),Sci-Fi,7
278,This movie was fantastic!,positive,0.749,SST-3 (Movies),Action,4
279,"Not great, not terrible, just passable.",neutral,0.92,SST-3 (Movies),Sci-Fi,6
280,What a extraordinary experience!,positive,0.765,SST-3 (Movies),Romance,4
281,Brilliant performances throughout!,positive,0.708,SST-3 (Movies),Sci-Fi,3
282,I was amazed by this incredible film.,positive,0.834,SST-3 (Movies),Comedy,7
283,The cinematography was stunning and spectacular.,positive,0.702,SST-3 (Movies),Romance,6
284,The acting was spectacular and the story was incredible.,positive,0.913,SST-3 (Movies),Drama,9
285,The acting was amazing and the story was incredible.,positive,0.829,SST-3 (Movies),Romance,9
286,It was an acceptable film.,neutral,0.633,SST-3 (Movies),Romance,5
287,This movie was spectacular!,positive,0.617,SST-3 (Movies),Action,4
288,The acting was terrible and the plot was ridiculous.,negative,0.798,SST-3 (Movies),Drama,9
289,Brilliant performances throughout!,positive,0.739,SST-3 (Movies),Comedy,3
290,The acting was outstanding and the story was incredible.,positive,0.908,SST-3 (Movies),Drama,9
291,Boring from start to finish.,negative,0.955,SST-3 (Movies),Comedy,5
292,This is hands down the disappointing film of the year.,negative,0.986,SST-3 (Movies),Drama,10
293,It's a fair experience overall.,neutral,0.976,SST-3 (Movies),Drama,5
294,I was amazed by this incredible film.,positive,0.879,SST-3 (Movies),Horror,7
295,"This film exceeded all expectations, it was spectacular.",positive,0.947,SST-3 (Movies),Action,8
296,"Not great, not terrible, just average.",neutral,0.689,SST-3 (Movies),Sci-Fi,6
297,This is hands down the terrible film of the year.,negative,0.657,SST-3 (Movies),Horror,10
298,The acting was decent and the story was okay.,neutral,0.854,SST-3 (Movies),Drama,9
299,Brilliant performances throughout!,positive,0.673,SST-3 (Movies),Comedy,3
300,"Some parts were good, others were passable.",neutral,0.8,SST-3 (Movies),Comedy,7
301,I was amazed by this incredible film.,positive,0.751,SST-3 (Movies),Comedy,7
302,The cinematography was stunning and unforgettable.,positive,0.68,SST-3 (Movies),Sci-Fi,6
303,The acting was wonderful and the story was incredible.,positive,0.843,SST-3 (Movies),Horror,9
304,The direction was awful and the script was terrible.,negative,0.965,SST-3 (Movies),Romance,9
305,It's a adequate experience overall.,neutral,0.637,SST-3 (Movies),Horror,5
306,It was forgettable - that's all I can say.,neutral,0.884,SST-3 (Movies),Sci-Fi,9
307,A outstanding masterpiece that blew me away.,positive,0.668,SST-3 (Movies),Horror,7
308,This is hands down the ridiculous film of the year.,negative,0.621,SST-3 (Movies),Action,10
309,"This film exceeded all expectations, it was unforgettable.",positive,0.968,SST-3 (Movies),Comedy,8
310,The cinematography was stunning and fantastic.,positive,0.88,SST-3 (Movies),Drama,6
311,What a frustrating waste of time.,negative,0.843,SST-3 (Movies),Comedy,6
312,The direction was awful and the script was nonsensical.,negative,0.876,SST-3 (Movies),Sci-Fi,9
313,The movie was tolerable but also entertaining.,neutral,0.658,SST-3 (Movies),Comedy,7
314,Terrible - I want my money back!,negative,0.675,SST-3 (Movies),Sci-Fi,7
315,"Some parts were good, others were decent.",neutral,0.724,SST-3 (Movies),Horror,7
316,The acting was decent and the story was passable.,neutral,0.677,SST-3 (Movies),Horror,9
317,The acting was stellar and the story was incredible.,positive,0.627,SST-3 (Movies),Comedy,9
318,A laughable disaster that disappointed me.,negative,0.703,SST-3 (Movies),Comedy,6
319,I've never seen such mediocre performances.,negative,0.795,SST-3 (Movies),Sci-Fi,6
320,It was an ordinary film.,neutral,0.693,SST-3 (Movies),Horror,5
321,The acting was decent and the story was unremarkable.,neutral,0.786,SST-3 (Movies),Horror,9
322,A fantastic masterpiece that blew me away.,positive,0.946,SST-3 (Movies),Action,7
323,The cinematography was stunning and wonderful.,positive,0.988,SST-3 (Movies),Horror,6
324,What a amazing experience!,positive,0.767,SST-3 (Movies),Comedy,4
325,"Not great, not terrible, just decent.",neutral,0.945,SST-3 (Movies),Drama,6
326,This is hands down the stupid film of the year.,negative,0.755,SST-3 (Movies),Drama,10
327,What a fantastic experience!,positive,0.874,SST-3 (Movies),Horror,4
328,"Some parts were good, others were forgettable.",neutral,0.956,SST-3 (Movies),Action,7
329,The cinematography was stunning and magnificent.,positive,0.624,SST-3 (Movies),Comedy,6
330,The acting was decent and the story was so-so.,neutral,0.925,SST-3 (Movies),Horror,9
331,I was amazed by this incredible film.,positive,0.769,SST-3 (Movies),Comedy,7
332,Absolutely remarkable film!,positive,0.793,SST-3 (Movies),Horror,3
333,This is hands down the nonsensical film of the year.,negative,0.606,SST-3 (Movies),Comedy,10
334,What a incredible experience!,positive,0.634,SST-3 (Movies),Drama,4
335,A incredible masterpiece that blew me away.,positive,0.716,SST-3 (Movies),Sci-Fi,7
336,Brilliant performances throughout!,positive,0.764,SST-3 (Movies),Romance,3
337,The direction was awful and the script was laughable.,negative,0.731,SST-3 (Movies),Horror,9
338,Absolutely powerful film!,positive,0.821,SST-3 (Movies),Drama,3
339,What a wonderful experience!,positive,0.623,SST-3 (Movies),Comedy,4
340,A unforgettable masterpiece that blew me away.,positive,0.77,SST-3 (Movies),Romance,7
341,I've never seen such annoying performances.,negative,0.905,SST-3 (Movies),Comedy,6
342,The acting was incredible and the story was incredible.,positive,0.669,SST-3 (Movies),Romance,9
343,The acting was wonderful and the story was incredible.,positive,0.737,SST-3 (Movies),Drama,9
344,This movie was outstanding!,positive,0.826,SST-3 (Movies),Action,4
345,The direction was awful and the script was frustrating.,negative,0.716,SST-3 (Movies),Action,9
346,"Some parts were good, others were passable.",neutral,0.757,SST-3 (Movies),Horror,7
347,This movie was remarkable!,positive,0.818,SST-3 (Movies),Action,4
348,This movie was superb!,positive,0.884,SST-3 (Movies),Romance,4
349,"This film exceeded all expectations, it was brilliant.",positive,0.668,SST-3 (Movies),Romance,8
350,"This film exceeded all expectations, it was spectacular.",positive,0.911,SST-3 (Movies),Horror,8
351,A fantastic masterpiece that blew me away.,positive,0.854,SST-3 (Movies),Romance,7
